Date,Date_Large,Price_Large,Date_Small,Price_Small,Log_Return_Large,Log_Return_Small,Cluster
2011-08-15,,1261.1375,,392.97499999999997,-0.003366283577541881,0.002101576955626091,0
2011-08-16,2011-08-16,1259.72,2003-12-02,393.25,-0.0011246174362496441,0.0006995453240857167,0
2011-08-17,2011-08-17,1263.12,2003-12-03,395.37,0.002695376685348212,0.005376493385520469,0
2011-08-18,2011-08-18,1191.08,2003-12-04,395.1905764363432,-0.05872439216916218,-0.0004539147842315224,2
2011-08-19,2011-08-19,1160.46,2003-12-05,394.42897932905123,-0.026043980325777396,-0.0019290235098613192,2
2011-08-22,2011-08-22,1174.32,2003-12-08,395.73117854781924,0.011872778430284345,0.0032960416561099532,1
2011-08-23,2011-08-23,1163.87,2003-12-09,397.3666319337051,-0.008938597443497363,0.004124221962078882,0
2011-08-24,2011-08-24,1191.27,2003-12-10,398.53698121893206,0.02326930570908965,0.0029409343277874015,1
2011-08-25,2011-08-25,1199.84,2003-12-11,392.900031013993,0.007168249638508996,-0.014245089475281813,1
2011-08-26,2011-08-26,1199.1,2003-12-12,394.2994049861195,-0.0006169391676917139,0.00355532634343394,0
2011-08-29,2011-08-29,1226.04,2003-12-15,396.6456283258061,0.022218188005945168,0.005932726352864368,1
2011-08-30,2011-08-30,1234.44,2003-12-16,395.86127279652857,0.006827962539606542,-0.0019794295400281476,1
2011-08-31,2011-08-31,1269.28,2003-12-17,393.5862143354775,0.027832384622753857,-0.005763688646228032,1
2011-09-01,2011-09-01,1258.48,2003-12-18,392.28285971609967,-0.008545167039443451,-0.0033169795260053663,2
2011-09-02,2011-09-02,1226.51,2003-12-19,393.01150964030234,-0.025731905567247273,0.0018557375724160285,2
2011-09-05,2011-09-05,1169.37,2003-12-22,395.2930293012545,-0.04770759571613779,0.005788438144471908,2
2011-09-06,2011-09-06,1161.1,2003-12-23,396.46315118289033,-0.007097310597903892,0.0029557653287213747,0
2011-09-07,2011-09-07,1193.44,2003-12-24,395.8890850712773,0.027472061573892818,-0.001449017711546715,1
2011-09-08,2011-09-08,1205.91,2003-12-26,396.40059623278984,0.010394575429883006,0.0012912227551391945,1
2011-09-09,2011-09-09,1140.37,2003-12-29,399.06173426625685,-0.05588169750334497,0.00669082081965031,2
2011-09-12,2011-09-12,1097.06,2003-12-30,399.7767488875908,-0.03871889673216174,0.0017901361222732387,2
2011-09-13,2011-09-13,1100.75,2003-12-31,401.11218417886124,0.003357891234633702,0.0033348857096156446,1
2011-09-14,2011-09-14,1108.0,2004-01-02,404.31438761319663,0.006564822671365843,0.007951613266603767,0
2011-09-15,2011-09-15,1143.2,2004-01-05,406.67114471350806,0.03127475930842854,0.005812098097268127,1
2011-09-16,2011-09-16,1157.24,2004-01-06,407.89994658588023,0.012206512083187172,0.0030170547852895135,1
2011-09-19,2011-09-19,1109.99,2004-01-07,414.39472546262004,-0.04168685344205545,0.01579704735907814,0
2011-09-20,2011-09-20,1125.94,2004-01-08,415.30133981803397,0.014267236055070173,0.0021854140430142264,1
2011-09-21,2011-09-21,1107.12,2004-01-09,417.73025259622665,-0.016856193394185006,0.0058315187168519285,0
2011-09-22,2011-09-22,1027.6,2004-01-12,420.0257505014637,-0.07453606268194622,0.005480124622366488,2
2011-09-23,2011-09-23,1013.12,2004-01-13,421.59300296577265,-0.014191307983135813,0.0037243805926770643,0
2011-09-26,2011-09-26,1046.65,2004-01-14,427.44508277020424,0.03255990928793654,0.013785418060264232,1
2011-09-27,2011-09-27,1119.1,2004-01-15,426.92203276315,0.06693020328345235,-0.0012244152727571872,1
2011-09-28,2011-09-28,1098.02,2004-01-16,432.63933514285816,-0.01901623298414771,0.013303033172917072,0
2011-09-29,2011-09-29,1105.9,2004-01-20,433.01797950367626,0.0071509252414805775,0.0008748135747474112,1
